Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
10% Laxmi Bank Debenture 2086,2,1045.00,1042.00,1045.00,95.00,99125.00,1055.00,-10.00
10% Nabil Debenture 2082,2,1020.00,1020.00,1020.00,50.00,51000.00,1040.00,-20.00
10% Prabhu Bank Debenture 2084 ,6,1047.00,1035.00,1035.00,2500.00,2591967.00,1035.00,0.00
10% Sanima Bank Limited Debenture,2,1033.00,1026.00,1033.00,765.00,788495.00,1025.10,7.90
10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,4,1020.00,1020.00,1020.00,565.00,576300.00,1035.00,-15.00
10.25% Prabhu Bank  Debenture 2086,1,1035.00,1035.00,1035.00,150.00,155250.00,1032.00,3.00
10.25% Sunrise Bank Debenture 2083,1,1040.10,1040.10,1040.10,50.00,52005.00,1045.10,-5.00
10.35% Agricultural Bank Debenture 2083,1,1045.00,1045.00,1045.00,200.00,209000.00,1054.00,-9.00
11% NIC Asia Debenture 082/83,1,1045.00,1045.00,1045.00,25.00,26125.00,1055.10,-10.10
12% ICFC Finance Limited Debenture 2083,1,1140.00,1140.00,1140.00,25.00,28500.00,1126.10,13.90
8.5% Sanima Debenture 2087,2,980.00,975.00,975.00,55.00,53775.00,971.00,4.00
9.5% Manjushree Finance Limited Debenture 2085,1,985.00,985.00,985.00,25.00,24625.00,1004.90,-19.90
9.5% NCC Debenture 2086,1,1000.00,1000.00,1000.00,50.00,50000.00,1014.00,-14.00
Aarambha Chautari Laghubitta Bittiya Sanstha Limited,71,1499.00,1470.00,1499.00,2298.00,3390787.00,1503.00,-4.00
Agriculture Development Bank Limited,813,535.00,515.00,520.20,84511.00,43966356.80,536.00,-15.80
Ajod Insurance Limited,270,800.00,778.20,784.00,8734.00,6853408.50,810.00,-26.00
Ankhu Khola Jalvidhyut Company Ltd,207,398.00,378.00,386.10,17707.00,6817403.60,400.10,-14.00
Api Power Company Ltd.,3318,508.00,480.00,489.00,525367.00,255878209.00,508.00,-19.00
Arun Kabeli Power Ltd.,1876,620.00,591.00,599.00,263033.00,158602067.20,627.20,-28.20
Arun Valley Hydropower Development Co. Ltd.,2255,688.00,644.00,654.00,589394.00,386043508.30,675.30,-21.30
Asha Laghubitta Bittiya Sanstha Ltd,61,1763.10,1722.20,1735.00,1950.00,3376329.90,1799.00,-64.00
Asian Life Insurance Co. Limited,307,1306.90,1248.00,1265.00,44808.00,56669271.30,1308.00,-43.00
Bank of Kathmandu Ltd.,721,365.00,350.10,353.00,108878.00,38542308.20,365.00,-12.00
Barun Hydropower Co. Ltd.,391,605.00,560.60,573.00,53121.00,30573825.00,610.00,-37.00
Best Finance Company Ltd.,608,520.00,490.00,508.00,60601.00,30475510.30,527.00,-19.00
Bishal Bazar Company Limited,81,5910.00,5650.00,5701.00,1442.00,8286728.00,5833.00,-132.00
Bottlers Nepal (Terai) Limited,14,10300.00,10120.00,10120.00,227.00,2313471.00,10310.00,-190.00
Butwal Power Company Limited,892,575.20,535.00,543.80,84202.00,45801101.00,564.00,-20.20
CEDB Hydropower Development Company Limited,531,1100.00,1021.00,1035.00,29509.00,31022274.00,1100.00,-65.00
Central Finance Co. Ltd.,751,645.10,605.00,625.10,108367.00,67655142.20,658.00,-32.90
Century Commercial Bank Ltd.,787,263.00,250.20,253.00,146710.00,37363013.53,260.00,-7.00
Chandragiri Hills Limited,509,1500.00,1402.00,1411.00,24442.00,35204161.40,1510.00,-99.00
Chhimek Laghubitta Bikas Bank Limited,673,1760.00,1725.10,1741.00,37574.00,65328931.50,1775.00,-34.00
Chhyangdi Hydropower Ltd.,418,625.00,593.00,602.00,58456.00,35666847.70,635.00,-33.00
Chilime Hydropower Company Limited,634,610.10,597.00,603.00,70869.00,42537906.20,615.00,-12.00
Citizen Bank International Limited,899,410.00,395.00,397.00,227891.00,90824477.50,410.00,-13.00
Citizen Investment Trust,632,3615.00,3525.00,3545.00,21365.00,75862223.50,3615.00,-70.00
Citizens Bank Internatioal Limited Promoter Share,1,208.00,208.00,208.00,62500.00,13000000.00,204.00,4.00
Citizens Mutual Fund -1,27,10.50,10.29,10.31,55284.00,572085.22,10.50,-0.19
CITIZENS MUTUAL FUND 2,24,10.54,10.36,10.36,37279.00,388794.87,10.53,-0.17
Civil Bank Ltd,810,265.00,260.00,261.00,155200.00,40499307.60,266.70,-5.70
Civil Laghubitta Bittiya Sanstha Ltd.,122,1401.40,1347.00,1374.00,7052.00,9629871.20,1430.00,-56.00
Corporate Development Bank Limited,121,1019.20,936.00,955.00,6387.00,6086968.00,1040.00,-85.00
Deprosc Laghubitta Bittiya Sanstha Limited,572,1665.00,1600.00,1615.00,25066.00,40519000.30,1663.00,-48.00
Dibyashwori Hydropower Ltd.,252,382.10,353.00,364.00,32659.00,11884321.00,381.00,-17.00
Everest Bank Limited,351,720.00,708.20,713.00,42233.00,30126105.90,726.00,-13.00
Everest Bank Limited Con. Pref.,2,661.00,660.00,661.00,60.00,39650.00,672.00,-11.00
Everest Insurance Co. Ltd.,317,734.00,699.10,701.00,40284.00,28468396.40,732.00,-31.00
Everest Insurance Co. Ltd. Promoter Share,17,426.20,395.10,409.00,5094.00,2054115.00,434.80,-25.80
Excel Development Bank Ltd.,792,1097.00,1045.10,1053.00,88402.00,93393023.20,1077.00,-24.00
First Micro Finance Development Bank Ltd.,516,1092.00,1031.00,1040.00,77501.00,82174610.80,1110.00,-65.00
Forward Community Microfinance Bittiya Sanstha Ltd.,266,2787.00,2687.00,2724.00,10208.00,27722591.20,2787.00,-63.00
Ganapati Microfinance Bittiya Sanstha Limited,40,1563.00,1526.10,1530.00,1309.00,2016969.40,1594.00,-64.00
Garima Bikas Bank Limited,1560,610.00,585.00,599.00,215692.00,128308049.40,615.00,-16.00
General Insurance Company Nepal Ltd,293,677.20,649.10,652.00,17962.00,11825701.50,688.00,-36.00
Ghalemdi Hydro Limited,184,448.80,404.00,419.00,14169.00,5907018.40,440.00,-21.00
Global IME Bank Limited,1860,435.00,422.00,426.00,200460.00,85342362.00,434.00,-8.00
Global IME Laghubitta Bittiya Sanstha Ltd.,201,2243.00,2130.00,2135.00,8883.00,19151485.20,2230.00,-95.00
Global IME Samunnat Scheme-1,54,21.00,20.58,20.89,179587.00,3734711.23,21.42,-0.53
Goodwill Finance Co. Ltd.,676,840.00,788.00,798.00,73719.00,59236647.40,853.00,-55.00
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,390,1080.00,1015.10,1019.00,28960.00,29933577.70,1080.00,-61.00
Green Development Bank Ltd.,277,448.80,415.00,431.00,28440.00,12185445.60,452.00,-21.00
GreenLife Hydropower Limited,413,538.50,490.00,499.00,21293.00,10613781.10,528.00,-29.00
Guheshowori Merchant Bank & Finance Co. Ltd.,568,600.00,553.70,580.00,78801.00,45195242.40,607.10,-27.10
Gurans Laghubitta Bittiya Sanstha Limited,21,1640.00,1570.00,1582.00,715.00,1131755.50,1670.00,-88.00
Gurans Life Insurance Company Ltd.,301,659.00,632.00,643.90,45242.00,29014215.90,662.00,-18.10
Gurkhas Finance Ltd.,406,1051.00,980.00,1015.00,38518.00,38628150.90,1050.00,-35.00
Himal Dolakha Hydropower Company Limited,1052,377.00,355.80,366.00,192535.00,70309473.40,377.00,-11.00
Himalaya Urja Bikas Company Limited,213,494.70,460.00,470.00,18381.00,8608225.10,485.00,-15.00
Himalayan Distillery Limited,1064,6829.00,6621.00,6760.00,30395.00,204390507.70,6870.00,-110.00
Himalayan General Insurance Co. Ltd,243,727.00,710.00,718.00,40550.00,28953460.00,739.80,-21.80
Himalayan Power Partner Ltd.,584,620.00,579.20,603.80,114717.00,67866285.00,630.00,-26.20
Hydorelectricity Investment and Development Company Ltd,1526,413.00,397.00,400.00,196773.00,78993036.70,413.00,-13.00
ICFC Finance Limited,1260,892.50,845.00,845.00,213300.00,183341271.00,908.90,-63.90
IME General Insurance Ltd.,338,1140.00,1097.00,1097.00,24470.00,27153551.40,1150.00,-53.00
Infinity Laghubitta Bittiya Sanstha Limited,105,1709.00,1610.00,1642.00,4573.00,7495441.30,1699.00,-57.00
Janaki Finance Ltd.,572,699.00,660.00,673.50,64415.00,43556847.00,713.00,-39.50
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,53,3225.00,3175.00,3189.00,1012.00,3233148.60,3260.00,-71.00
Jeevan Bikas laghubitta  bittya sanstha ltd,1182,4510.00,4360.00,4386.00,17454.00,76984303.40,4510.00,-124.00
Joshi Hydropower Development Company Ltd,164,390.00,376.00,383.00,15052.00,5761369.50,397.90,-14.90
Jyoti Bikas Bank Limited,2234,544.00,520.00,526.00,296146.00,156471368.30,548.00,-22.00
Jyoti Life Insurance Ltd,672,660.00,642.00,645.00,17242.00,11203312.40,670.00,-25.00
Kalika Microcredit Development Bank Ltd.,136,1300.00,1250.00,1256.10,6388.00,8094039.50,1315.00,-58.90
Kalika power Company Ltd,199,679.00,640.00,645.00,30392.00,19872941.10,684.90,-39.90
Kamana Sewa Bikas Bank Limited,1479,700.00,670.00,683.20,206278.00,140931671.50,705.00,-21.00
Karnali Development Bank Limited,344,505.10,476.00,491.00,54917.00,26957978.60,512.00,-21.00
Khanikhola Hydropower Co. Ltd.,357,396.00,378.00,383.30,41963.00,16096051.60,395.00,-11.70
Kisan Lagubitta Bittiya Sanstha Limited,16,1465.20,1420.00,1448.00,381.00,547744.00,1465.20,-17.20
Kisan Lagubitta Bittiya Sanstha Limited Promoter Share,1,890.00,890.00,890.00,10660.00,9487400.00,890.00,0.00
Kumari Bank Limited,1275,338.00,327.00,330.00,247321.00,81699510.40,340.00,-10.00
Kumari Equity Fund,28,9.98,9.82,9.87,26200.00,260517.00,9.97,-0.10
Laxmi Bank Limited,468,376.00,353.00,354.10,90140.00,32160563.70,369.00,-14.90
Laxmi Equity Fund,35,10.26,10.13,10.15,92800.00,943524.00,10.31,-0.16
Laxmi Laghubitta Bittiya Sanstha Ltd.,119,2029.00,1960.00,1987.50,7116.00,14093943.50,2070.00,-82.50
Laxmi Unnati Kosh,21,10.25,10.21,10.25,54750.00,559728.50,10.31,-0.06
Liberty Energy Company Limited,402,445.00,405.00,415.00,50491.00,21123057.20,445.00,-30.00
Life Insurance Co. Nepal,223,1997.00,1897.00,1997.00,12513.00,24278697.90,2019.60,-22.60
Lumbini Bikas Bank Ltd.,1408,612.00,581.10,591.00,206196.00,122037978.10,617.90,-26.90
Lumbini General Insurance Co. Ltd.,358,795.00,735.00,737.10,42725.00,31848758.50,780.00,-42.90
Machhapuchhre Bank Limited,533,393.00,380.60,383.00,165303.00,63525494.30,394.00,-11.00
Mahalaxmi Bikas Bank Ltd.,1243,605.00,570.00,581.00,195153.00,114076651.40,608.00,-27.00
Mahila Lagubitta Bittiya Sanstha Limited ,96,4530.00,4460.00,4461.10,2098.00,9402100.00,4550.00,-88.90
Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,88,1980.10,1840.00,1897.00,2440.00,4587421.90,1992.10,-95.10
Manakamana Smart Laghubitta Bittiya Sanstha Limited,6,899.90,820.00,899.90,60.00,51670.00,818.10,81.80
